VR_V,Mn_abrupt,Mp_abrupt,Mn_graded,Mp_graded
52.0,8.48660761366312,2.3079168142382347,1.4801118453641333,1.0266482557860894
53.0,10.25303215763698,2.641337973968777,1.5292301385431881,1.0306854449861815
54.0,12.837035461675327,3.1306050595636123,1.5827769001264516,1.0352501839828068
55.0,16.96723525798734,3.9145715387287803,1.6411956604406308,1.0404070858753771
56.0,24.60394962245425,5.3668158599679945,1.7049913761972229,1.046229639672627
57.0,43.44691082064462,8.954687197791552,1.7747414601744058,1.0528017815495327
58.0,165.29683624495036,32.17351247086313,1.8511092514858882,1.0602198158129106
59.0,nan,nan,1.9348605865227906,1.0685947797757982
60.0,nan,nan,2.0268843425191347,1.0780553769988104
61.0,nan,nan,2.128218117239618,1.0887516449994223
62.0,nan,nan,2.240080614279998,1.1008595815228515
63.0,nan,nan,2.363912876102394,1.1145870352670022
64.0,nan,nan,2.5014313258332668,1.1301812839343748
65.0,nan,nan,2.654696767622183,1.1479388923009968
66.0,nan,nan,2.8262052494154646,1.1682186935623666
67.0,nan,nan,3.019009326672728,1.1914591135847767
68.0,nan,nan,3.236882301099557,1.2182016341762225
69.0,nan,nan,3.4845443244592635,1.2491230937429358
70.0,nan,nan,3.7679793817214486,1.2850809699587513
71.0,nan,nan,4.094888834665735,1.3271781699679586
72.0,nan,nan,4.47535547794043,1.376857892192422
73.0,nan,nan,4.922841663922219,1.4360462098921762
74.0,nan,nan,5.45573551468791,1.5073729493034473
75.0,nan,nan,6.099831718302142,1.5945260741529497
76.0,nan,nan,6.8924797806417155,1.7028442686524021
77.0,nan,nan,7.889872252048522,1.840358071583123
78.0,nan,nan,9.180646135511596,2.0197328617193357
79.0,nan,nan,10.913253951562263,2.2621788720551277
80.0,nan,nan,13.356668793341987,2.6061230568023044
81.0,nan,nan,17.05384677722099,3.129131650248753
82.0,nan,nan,23.28980137525308,4.014776243943733
83.0,nan,nan,36.01732269801471,5.827731612721557
84.0,nan,nan,76.250918359393,11.570051429515368
85.0,nan,nan,nan,nan
86.0,nan,nan,nan,nan
87.0,nan,nan,nan,nan
88.0,nan,nan,nan,nan
89.0,nan,nan,nan,nan
90.0,nan,nan,nan,nan
91.0,nan,nan,nan,nan
92.0,nan,nan,nan,nan
93.0,nan,nan,nan,nan
94.0,nan,nan,nan,nan
95.0,nan,nan,nan,nan
96.0,nan,nan,nan,nan
97.0,nan,nan,nan,nan
98.0,nan,nan,nan,nan
99.0,nan,nan,nan,nan
100.0,nan,nan,nan,nan
101.0,nan,nan,nan,nan
102.0,nan,nan,nan,nan
103.0,nan,nan,nan,nan
104.0,nan,nan,nan,nan
105.0,nan,nan,nan,nan
106.0,nan,nan,nan,nan
107.0,nan,nan,nan,nan
108.0,nan,nan,nan,nan
109.0,nan,nan,nan,nan
110.0,nan,nan,nan,nan
111.0,nan,nan,nan,nan
112.0,nan,nan,nan,nan
113.0,nan,nan,nan,nan
114.0,nan,nan,nan,nan
115.0,nan,nan,nan,nan
116.0,nan,nan,nan,nan
117.0,nan,nan,nan,nan
118.0,nan,nan,nan,nan
119.0,nan,nan,nan,nan
120.0,nan,nan,nan,nan
